"پارک","اسکله شهید حقانی","بلوار طالقانی","اسکله اصلی مسافری و تجاری"
"پارک","اسکله شهید رجایی","غرب بندرعباس","بندر کانتینری"
"پارک","اسکله مسافربری (قشم و هرمز)","نزدیک بندر","لنگرگاه قایق‌های مسافربری"
"پارک","معبد هندوها","بندرعباس","معبد هندوهای ساکن بندرعباس"
"پارک","حمام گله‌داری","بندرعباس","حمام تاریخی دوره قاجار"
"پارک","امامزاده سید مظفر","بندرعباس","زیارتگاه محلی"
"دانشگاه"," دانشگاه","موقعیت","رشته‌های اصلی"
"دانشگاه","دانشگاه هرمزگان","بندرعباس","مهندسی، علوم پایه، علوم انسانی، کشاورزی"
"دانشگاه","دانشگاه علوم پزشکی و خدمات بهداشتی درمانی بندرعباس","بندرعباس","پزشکی، دندانپزشکی، داروسازی، پرستاری"
"دانشگاه","دانشگاه آزاد اسلامی واحد بندرعباس","بندرعباس","مهندسی، علوم انسانی، هنر"
"دانشگاه","دانشگاه پیام نور هرمزگان","بندرعباس","علوم انسانی، مهندسی، علوم پایه"
"دانشگاه","دانشگاه علمی کاربردی واحد بندرعباس","بندرعباس","کاردانی و کارشناسی علمی-کاربردی"
"دانشگاه","دانشگاه صنعتی امیرکبیر (شعبه بندرعباس)","بندرعباس","مهندسی صنایع، دریانوردی"
"صنعت"," واحد صنعتی/اقتصادی","موقعیت","نوع فعالیت"
"صنعت","مجتمع کشتی‌سازی و صنایع فراساحل ایران (ISOICO)","غرب بندرعباس","کشتی‌سازی، تعمیرات، سازه‌های دریایی"
"صنعت","پالایشگاه نفت بندرعباس","بندرعباس","پالایش نفت خام"
"صنعت","مجتمع پتروشیمی بندرعباس","بندرعباس","تولید محصولات پتروشیمی"
"صنعت","آلومینیوم المهدی","بندرعباس","تولید شمش آلومینیوم"
"صنعت","فولاد هرمزگان","بندرعباس","تولید فولاد"
"صنعت","بندر شهید رجایی","غرب بندرعباس","تخلیه و بارگیری کانتینر"
"صنعت","بندر شهید باهنر","بندرعباس","تخلیه و بارگیری عمومی"
"صنعت","منطقه ویژه اقتصادی بندرعباس","اطراف بندرعباس","منطقه آزاد تجاری-صنعتی"
"صنعت","بازار ماهی و میگو","بازار ماهی","صید و فروش آبزیان"
"صنعت","بازار صنایع دستی","بازار سنتی","تولید و فروش صنایع دستی"
"مکان مذهبی"," مکان","موقعیت","ویژگی"
"مکان مذهبی","مسجد جامع بندرعباس","مرکز شهر","مسجد اصلی شهر"
"مکان مذهبی","مسجد امام خمینی","بندرعباس","مسجد بزرگ"
"مکان مذهبی","مسجدالنبی","بندرعباس","مسجد محلی"
"مکان مذهبی","امامزاده سید مظفر","بندرعباس","زیارتگاه مهم"
"مکان مذهبی","امامزاده سید محمد","بندرعباس","زیارتگاه"
"مکان مذهبی","معبد هندوها","بندرعباس","معبد قدیمی هندوهای ساکن بندرعباس"
"مکان مذهبی","کلیسای ارامنه","بندرعباس","کلیسای ارامنه ساکن"
"مکان مذهبی","حسینیه مرکزی","بندرعباس","مرکز برگزاری مراسم عزاداری"
"مکان مذهبی","تکیه بزرگ","بندرعباس","تکیه قدیمی"
"مکان مذهبی","آرامستان وادی رحمت","بندرعباس","آرامستان اصلی شهر"
